OCCSCHEME,OCCTYPE,OCCDESC,PSOLD_RG,PSOLD_Description,Effective,Expiration
RMS BR,70010,Bridge-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,70011,Bridge-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,80001,Ports-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,80002,Ports-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,80003,Ports-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,80004,Ports-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,80005,Ports-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,80010,Ports-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,80011,Ports-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,90001,Dam-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,90002,Dam-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,90003,Dam-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,90004,Dam-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,90005,Dam-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,90010,Dam-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,90011,Dam-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,100001,Water Treatment-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,100002,Water Treatment-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,100003,Water Treatment-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,100004,Water Treatment-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,100005,Water Treatment-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,100010,Water Treatment-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,100011,Water Treatment-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,110010,Civil Pipelines-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,110011,Civil Pipelines-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,120010,Civil Highways-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,120011,Civil Highways-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,130010,Civil Tunnels-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,130011,Civil Tunnels-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,140001,Power Plant-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,140002,Power Plant-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,140003,Power Plant-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,140004,Power Plant-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,140005,Power Plant-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,140010,Power Plant-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,140011,Power Plant-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS IND,1001,Heavy Industrial - Mining,34,Heavy Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,1011,Heavy Industrial - Cement,34,Heavy Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,1021,Heavy Industrial - Steel,34,Heavy Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,1031,Heavy Industrial - Pulp & Paper,33,Heavy Manufacturing - Wood  ,1/1/2019,12/31/2099
RMS IND,1041,Heavy Industrial - Glass,34,Heavy Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,1051,Heavy Industrial - General,34,Heavy Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,2001,Chemical Processing - Primarily Outdoor,30,Chemical Manufacturing,1/1/2019,12/31/2099
RMS IND,2011,Chemical Processing - Primarily Indoor,30,Chemical Manufacturing,1/1/2019,12/31/2099
RMS IND,3001,Light Industrial - Electronics,32,Light Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,3011,Light Industrial - Pharmaceutical,30,Chemical Manufacturing,1/1/2019,12/31/2099
RMS IND,3021,Light Industrial - Biomedical,32,Light Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,3031,Light Industrial - Semiconductor,32,Light Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,3041,Light Industrial - General Assembly,32,Light Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,3051,Light Industrial - General Manufacturing,32,Light Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,3061,Light Industrial - Technological Risk,32,Light Manufacturing - Other,1/1/2019,12/31/2099
RMS IND,4001,Petrochemical - Refineries,35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,4011,Petrochemical - Pipelines,35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,4021,Petrochemical - Pipelines Below Ground,35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,4031,Petrochemical - Tank Farms,35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5001,Electric Power Generation - Fossil Fuel (Small),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5002,Electric Power Generation - Fossil Fuel (Medium),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5003,Electric Power Generation - Fossil Fuel (Large),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5011,Electric Power Generation - Hydroelectric,35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5021,Electric Power Generation - Co-Generation (Small),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5022,Electric Power Generation - Co-Generation (Mid),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5023,Electric Power Generation - Co-Generation (Large),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5031,Electric Power Generation - Gas Power (Small),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5032,Electric Power Generation - Gas Power (Mid),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,5033,Electric Power Generation - Gas Power (Large),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,6001,Electric Power - T&D,35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,6011,Electric Power - Substations (Small),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,6012,Electric Power - Substations (Mid),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,6013,Electric Power - Substations (Large),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,6021,Electric Power - Nuclear Power Plant,35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,6031,Electric Power - Wind Farms (Small),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,6032,Electric Power - Wind Farms (Mid),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,6033,Electric Power - Wind Farms (Large),35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,6041,Electric Power - Solar Farms,35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,7001,Natural Gas,35,Severe Manu/Petroleum,1/1/2019,12/31/2099
RMS IND,7051,"Dams, Reservoirs only",39,All (excluding HPR),1/1/2019,12/31/2099
RMS IND,7061,Water/Sewage treatment plants,10,Emergency Services,1/1/2019,12/31/2099
RMS IND,7071,Outdoor Mechanical,39,All (excluding HPR),1/1/2019,12/31/2099
SIC,8361,Residential Care,4,Group Institutional Housing,1/1/2019,12/31/2099
SIC,8399,"Social Services, NEC",11,Government Services,1/1/2019,12/31/2099
SIC,8400,"MUSEUM, BOTANICAL GARDENS AND ZOOLOGICAL GARDENS",8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,8412,Museum & Art Galleries,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,8422,Botanical & Zoological Gardens,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,8600,MEMBERSHIP ORGANIZATION,12,Churches,1/1/2019,12/31/2099
SIC,8611,Business Associations,12,Churches,1/1/2019,12/31/2099
SIC,8621,Professional Organizations,12,Churches,1/1/2019,12/31/2099
SIC,8631,Labor Organizations,12,Churches,1/1/2019,12/31/2099
SIC,8641,Civic & Social Associations,12,Churches,1/1/2019,12/31/2099
SIC,8651,Political Organizations,12,Churches,1/1/2019,12/31/2099
SIC,8661,Religious Organizations,12,Churches,1/1/2019,12/31/2099
SIC,8699,"Membership Organizations, NEC",12,Churches,1/1/2019,12/31/2099
SIC,8700,"ENGINEER, ACCOUNTING, RESEARCH, MGMT & REL. SVCS.",14,Offices and Banks,1/1/2019,12/31/2099
SIC,8711,Engineering Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,8712,Architectural Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,8713,Surveying Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,8721,"Accounting, Auditing & Bookkeeping Services",14,Offices and Banks,1/1/2019,12/31/2099
SIC,8731,"Commercial, Physical & Biological Research",14,Offices and Banks,1/1/2019,12/31/2099
SIC,8732,"Commercial, Economic, Sociological & Educ. Researc",14,Offices and Banks,1/1/2019,12/31/2099
SIC,8733,Noncommercial Research Organizations,14,Offices and Banks,1/1/2019,12/31/2099
SIC,8734,Testing Laboratories,14,Offices and Banks,1/1/2019,12/31/2099
SIC,8741,Management Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,8742,Management Consulting Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,8743,Public Relations Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,8744,Facilities Support Management Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,8748,"Business Consulting Services, NEC",14,Offices and Banks,1/1/2019,12/31/2099
SIC,8800,PRIVATE HOUSEHOLDS,3,Dwelling,1/1/2019,12/31/2099
SIC,8811,Private Households,3,Dwelling,1/1/2019,12/31/2099
SIC,8900,MISCELLANEOUS SERVICES,21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,8999,"Services, NEC",21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,9100,"EXECUTIVE, LEGISLATIVE AND GENERAL GOVERNMENT",11,Government Services,1/1/2019,12/31/2099
SIC,9111,Executive Offices,11,Government Services,1/1/2019,12/31/2099
SIC,9121,Legislative Bodies,11,Government Services,1/1/2019,12/31/2099
SIC,9131,Executive & Legislative Combined,11,Government Services,1/1/2019,12/31/2099
SIC,9199,"General Government, NEC",11,Government Services,1/1/2019,12/31/2099
SIC,9200,"JUSTICE, PUBLIC ORDER AND SAFETY",11,Government Services,1/1/2019,12/31/2099
SIC,9211,Courts,11,Government Services,1/1/2019,12/31/2099
SIC,9221,Police Protection,11,Government Services,1/1/2019,12/31/2099
SIC,9222,Legal Counsel & Prosecution,11,Government Services,1/1/2019,12/31/2099
SIC,9223,Correctional Institutions,11,Government Services,1/1/2019,12/31/2099
SIC,9224,Fire Protection,11,Government Services,1/1/2019,12/31/2099
SIC,9229,"Public Order & Safety, NEC",11,Government Services,1/1/2019,12/31/2099
SIC,9300,"FINANCE, TAX AND MONETARY POLICY",11,Government Services,1/1/2019,12/31/2099
SIC,9311,"Finance, Tax & Monetary Policy",11,Government Services,1/1/2019,12/31/2099
SIC,9400,ADMINISTRATION OF HUMAN RESOURCES,11,Government Services,1/1/2019,12/31/2099
SIC,9411,Administration of Educational Programs,11,Government Services,1/1/2019,12/31/2099
SIC,9431,Administration of Public Health Programs,11,Government Services,1/1/2019,12/31/2099
SIC,9441,Administration of Social & Manpower Programs,11,Government Services,1/1/2019,12/31/2099
SIC,9451,Administration of Veterans Affairs,11,Government Services,1/1/2019,12/31/2099
SIC,9500,ENVIRONMENTAL QUALITY AND HOUSING PROGRAMS,11,Government Services,1/1/2019,12/31/2099
SIC,9511,"Air, Water & Solid Waste Management",11,Government Services,1/1/2019,12/31/2099
SIC,9512,"Land, Mineral & Wildlife Conservation",11,Government Services,1/1/2019,12/31/2099
SIC,9531,Housing Programs,11,Government Services,1/1/2019,12/31/2099
SIC,9532,Urban & Community Development,11,Government Services,1/1/2019,12/31/2099
SIC,9600,ADMINISTRATION OF ECONOMIC PROGRAMS,11,Government Services,1/1/2019,12/31/2099
SIC,9611,Administration of General Economic Programs,11,Government Services,1/1/2019,12/31/2099
SIC,9621,Regulation & Administration of Transportation,11,Government Services,1/1/2019,12/31/2099
SIC,9631,Regulation & Administration of Utilities,11,Government Services,1/1/2019,12/31/2099
SIC,9641,Agricultural Marketing Regulation,11,Government Services,1/1/2019,12/31/2099
SIC,9651,Miscellaneous Commercial Sectors Regulation,11,Government Services,1/1/2019,12/31/2099
SIC,9661,Space Research & Technology,11,Government Services,1/1/2019,12/31/2099
SIC,9700,NATIONAL SECURITY AND INTERNATIONAL AFFAIRS,11,Government Services,1/1/2019,12/31/2099
SIC,9711,National Security,11,Government Services,1/1/2019,12/31/2099
SIC,9721,International affairs,11,Government Services,1/1/2019,12/31/2099
SIC,9800,HEADQUARTERS AND SUBSIDIARY HEADQUARTERS LOCATIONS,39,All (excluding HPR),1/1/2019,12/31/2099
SIC,9801,Headquarters Location,39,All (excluding HPR),1/1/2019,12/31/2099
SIC,9802,Subsidiary Headquarters Location,39,All (excluding HPR),1/1/2019,12/31/2099
SIC,9803,Administration Office,39,All (excluding HPR),1/1/2019,12/31/2099
SIC,9804,Foreign Owner,39,All (excluding HPR),1/1/2019,12/31/2099
SIC,9900,NONCLASSIFIABLE ESTABLISHMENTS,39,All (excluding HPR),1/1/2019,12/31/2099
SIC,9999,Nonclassifiable Establishments,39,All (excluding HPR),1/1/2019,12/31/2099
WCOCC,0,Unknown,39,All (excluding HPR),1/1/2019,12/31/2099
WCOCC,1,Office,14,Offices and Banks,1/1/2019,12/31/2099
WCOCC,2,Light Manufacturing,32,Light Manufacturing - Other,1/1/2019,12/31/2099
WCOCC,3,Heavy and Other Manufacturing,34,Heavy Manufacturing - Other,1/1/2019,12/31/2099
WCOCC,4,Wholesale Trade,15,Other Mercantiles - Retail/Wholesale,1/1/2019,12/31/2099
WCOCC,5,Retail Trade,15,Other Mercantiles - Retail/Wholesale,1/1/2019,12/31/2099
WCOCC,6,Restaurant,9,Restaurants and Bars,1/1/2019,12/31/2099
WCOCC,8,Hotel/Motel,7,Hotels and Motels - Other,1/1/2019,12/31/2099
WCOCC,12,General WC,39,All (excluding HPR),1/1/2019,12/31/2099
WCOCC,13,Construction,22,Buildings Under Construction,1/1/2019,12/31/2099
WCOCC,14,Medical,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
RMS BR,10001,Residential-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,10002,Residential-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,10003,Residential-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,10004,Residential-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,10005,Residential-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,10010,Residential-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,10011,Residential-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,20001,Commercial-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,20002,Commercial-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,20003,Commercial-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,20004,Commercial-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,20005,Commercial-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,20010,Commercial-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS IND,7011,Food & Beverage,27,Food Processing - Other,1/1/2019,12/31/2099
RMS IND,7021,Data Processing/Telecommunications,39,All (excluding HPR),1/1/2019,12/31/2099
RMS IND,7031,Communications,39,All (excluding HPR),1/1/2019,12/31/2099
RMS IND,7041,Ports & Harbors,39,All (excluding HPR),1/1/2019,12/31/2099
SIC,7334,Photocopying & Duplicating Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7335,Commercial Photography,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7336,Commercial Art & Graphic Design,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7338,Stenographic & Court Reporting Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7342,Disinfecting & Exterminating,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7349,"Building Maintenance Services, NEC",14,Offices and Banks,1/1/2019,12/31/2099
SIC,7352,Medical Equipment Rental,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7353,Heavy Construction/Earthmoving Equip. Rental & Lea,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7359,"Equipment Rental & Leasing, NEC",14,Offices and Banks,1/1/2019,12/31/2099
SIC,7361,Employment Agencies,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7363,Help Supply Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7371,Custom Computer Programming Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7372,Prepackaged Computer Software,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7373,Computer Integrated System Design,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7374,Computer Processing & Data Preparation Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7375,Electronic Information Retrieval Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7376,Computer Facilities Management Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7377,Computer Leasing & Rental,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7378,Computer Maintenance & Repair,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7379,"Computer Related Services, NEC",14,Offices and Banks,1/1/2019,12/31/2099
SIC,7381,"Detective, Guard & Armored Car Services",14,Offices and Banks,1/1/2019,12/31/2099
SIC,7382,Security Systems Services,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7383,News Syndicates,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7384,Photo Finishing Laboratories,14,Offices and Banks,1/1/2019,12/31/2099
SIC,7389,"Business Services, NEC",14,Offices and Banks,1/1/2019,12/31/2099
SIC,7500,AUTO REPAIR SERVICES AND GARAGES,18,Auto repair ,1/1/2019,12/31/2099
SIC,7513,Truck Rental & Leasing,18,Auto repair ,1/1/2019,12/31/2099
SIC,7514,"Passenger Car Rental, Without Drivers",18,Auto repair ,1/1/2019,12/31/2099
SIC,7515,"Passenger Car Leasing, Without Drivers",18,Auto repair ,1/1/2019,12/31/2099
SIC,7519,Utility Trailer Rental,18,Auto repair ,1/1/2019,12/31/2099
SIC,7521,Automobile Parking,19,Parking,1/1/2019,12/31/2099
SIC,7532,"Top, Body & Upholstery Repair & Paint Shops",18,Auto repair ,1/1/2019,12/31/2099
SIC,7533,Motor Vehicle Exhaust Systems Repair Shops,18,Auto repair ,1/1/2019,12/31/2099
SIC,7534,Tire Retreading & Repair Shops,18,Auto repair ,1/1/2019,12/31/2099
SIC,7536,Motor Vehicle Glass Replacement Shops,18,Auto repair ,1/1/2019,12/31/2099
SIC,7537,Motor Vehicle Transmission Repair Shops,18,Auto repair ,1/1/2019,12/31/2099
SIC,7538,General Automotive Repair Shops,18,Auto repair ,1/1/2019,12/31/2099
SIC,7539,"Automotive Repair Shops, NEC",18,Auto repair ,1/1/2019,12/31/2099
SIC,7542,Car Washes,18,Auto repair ,1/1/2019,12/31/2099
SIC,7549,"Automotive Services, NEC",18,Auto repair ,1/1/2019,12/31/2099
SIC,7600,MISCELLANEOUS REPAIR SERVICES,21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,7622,Radio & Television Repair,21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,7623,Refrigeration Service & Repair,21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,7629,"Electrical Repair Shops, NEC",21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,7631,"Watch, Clock & Jewelry Repair",21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,7641,Reupholstery & Furniture Repair,21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,7692,Welding Repair,21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,7694,Armature Rewinding Shops,21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,7699,"Repair Services, NEC",21,Personal and Repair Services,1/1/2019,12/31/2099
SIC,7800,MOTION PICTURES,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7812,Motion Picture Production,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7819,Services Allied to Motion Pictures,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7822,Motion Picture & Tape Distribution,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7829,Motion Picture Distribution Services,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7832,"Motion Picture Theatres, Except Drive-in",8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7833,Drive-in Motion Picture Theatres,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7841,Video Tape Rental,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7900,AMUSEMENT AND RECREATIONAL SERVICES,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7911,"Dance Halls, Studios & Schools",8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7922,Theatrical Producers & Services,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7929,Entertainers & Entertainment Groups,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7933,Bowling Alleys,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7941,Sports Clubs & Promoters,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7948,"Racing, Including Track Operation",8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7991,Physical Fitness Facilities,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7992,Public Golf Courses,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7993,Coin-Operated Amusement Devices,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7996,Amusement Parks,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7997,Membership Sports & Recreation Clubs,8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,7999,"Amusement & Recreation, NEC",8,Entertainment and Recreation,1/1/2019,12/31/2099
SIC,8000,HEALTH SERVICES,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8011,Offices & Clinics of Doctors of Medicine,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8021,Offices & Clinics of Dentists,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8031,Offices & Clinics Of Doctors Of Osteopathy,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8041,Offices & Clinics Of Chiropractors,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8042,Optometrists Offices,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8043,Offices of Podiatrists,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8049,"Health Practitioners Office, NEC",5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8051,Skilled Nursing Care Facilities,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8052,Intermediate Health Care Facilities,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8059,"Nursing & Personal Care, NEC",5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8062,General Medical & Surgical Hospitals,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8063,Psychiatric Hospitals,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8069,"Specialty Hospitals, Except Psychiatric",5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8071,Medical Laboratories,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8072,Dental Laboratories,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8082,Home Health Care Agencies,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
SIC,8092,Kidney Dialysis Centers,5,Hospitals and Nursing Homes,1/1/2019,12/31/2099
RMS BR,20011,Commercial-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,30001,Institutional-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,30002,Institutional-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,30003,Institutional-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,30004,Institutional-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,30005,Institutional-PH5,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,30010,Institutional-AVG,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,30011,Institutional-WOR,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,40001,Stadium/Convention Center-PH1,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,40002,Stadium/Convention Center-PH2,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,40003,Stadium/Convention Center-PH3,22,Buildings Under Construction,1/1/2019,12/31/2099
RMS BR,40004,Stadium/Convention Center-PH4,22,Buildings Under Construction,1/1/2019,12/31/2099
SIC,5947,"Gift, Novelty & Souvenir Shops",16,Other Mercantiles - Other ,1/1/2019,12/31/2099
